id,name,fan_count,talking_about_count,checkins,category,overall_star_rating,price_range,delivery,reserve,waiter,breakfast,lunch,dinner,coffee,drinks
628043390630528,Bakery Café,10658,49,676,Restaurant,****,Between $10 - $99,False,True,True,True,True,False,True,True
675743925827507,Pitchoun Bakery & Café,9112,354,5695,European Restaurant,****,Between $10 - $99,False,False,False,True,True,False,True,True
886656281463307,Nicolette Bakery + Café,4892,1107,2233,Restaurant,****,Between $10 - $99,False,True,False,True,True,True,True,True
148025105222933,Maxie B's Bakery & Dessert Café,15415,479,18636,Restaurant,****,Between $10 - $99,True,False,False,False,False,False,True,False
503942783060308,Joma Bakery Café Cambodia,21826,163,8362,Bakery,****,Between $10 - $99,True,False,False,True,True,True,True,True
482695805154715,Livingstone Café & Bakery,2949,113,12935,Bakery,****,Between $10 - $99,False,False,False,True,True,True,True,False
107762189272745,Stella's Cafe & Bakery,4227,190,7692,Bakery,****,Between $10 - $99,False,False,False,True,True,True,True,True
199053670219753,BITE bakery café,12481,41,2495,Cafe,****,Under $10,False,False,False,True,True,True,True,True
180826371927484,French Meadow Bakery & Café,10241,197,28990,Cafe,****,Between $10 - $99,True,True,True,True,True,True,True,True
249098061212,Shea's Cafe & Bakery,9254,80,17456,American Restaurant,****,Under $10,False,False,True,True,True,False,False,False
130688483621057,Orange Blossom Bakery & Café,5038,105,6984,Breakfast & Brunch Restaurant,****,Under $10,False,False,False,True,False,False,True,False
192672134085942,Crumz Bakery Cafe,37613,1514,3499,Breakfast & Brunch Restaurant,****,Under $10,True,False,True,True,True,True,True,True
201627323197201,Cake Cafe & Bakery,4658,128,12232,Southern Restaurant,****,Under $10,False,False,False,True,True,False,True,False
139348882788192,Rustika Cafe & Bakery,14335,222,2246,Coffee Shop,****,Under $10,False,False,False,True,True,True,True,False
46760047978,Ferrara Bakery & Cafe,14032,459,83508,Italian Restaurant,****,Between $10 - $99,True,False,True,True,True,False,True,True
20804911467,Zagu?n Latin Café and Bakery,3247,28,15810,Latin American Restaurant,****,Between $10 - $99,True,True,True,True,True,True,True,True
719687984721274,French Meadow Bakery & Café on Grand Avenue,1611,51,5307,Breakfast & Brunch Restaurant,****,Between $10 - $99,True,True,True,True,True,True,True,True
297475136996691,Metro Bakery and Cafe,5320,403,8655,Coffee Shop,****,Under $10,True,True,True,False,False,False,True,True
1028508970542656,Heritage Bakery & Cafe,3604,184,987,Cafe,****,Between $10 - $99,True,True,False,False,False,False,True,True
108568434997,Alcove Cafe & Bakery,12588,381,80215,American Restaurant,****,Between $10 - $99,False,False,False,True,True,True,True,True
344865478877709,Wildflour Bakery & Cafe,4577,34,1728,Breakfast & Brunch Restaurant,****,Between $10 - $99,False,False,False,True,True,False,True,True
